rank,Name,dfs_id,dk_salary,proj,adj_proj,p50,p75,p95,own,archetype,FRAGILITY,sensitivity_pct,sensitivity_label,mc_prob,win_pct,ceiling_delta,value,CEIL,VAL,LEV,SAFE,wave,sg_ott,sg_app,sg_arg,sg_putt,has_sg,DFS_SCORE_20MAX
1,Chris Kirk,42464076,7200,53.04,49.312999999999995,58.0,71.5,92.0,5.24,Leverage Pivot,36.9846,100.0,CORE LOCK,0.630154,0.006,38.96,7.366666666666666,85.08670520231217,98.54274014043803,85.66350710900478,74.50749948832814,PM,,,,,False,86.80440058442123
2,Tony Finau,42464069,7400,56.92,53.6865,62.0,75.0,97.5,10.71,Leverage Pivot,19.403100000000002,100.0,CORE LOCK,0.676615,0.013999999999999999,40.58,7.691891891891892,90.1734104046243,100.0,64.33649289099529,83.16789585976353,AM,-0.574,0.129,0.312,0.0,True,85.48205219664038
3,Matt Wallace,42464074,7300,53.65,50.19874999999999,59.0,72.0,94.5,6.35,Leverage Pivot,36.8615,100.0,CORE LOCK,0.631385,0.009000000000000001,40.85,7.3493150684931505,87.39884393063588,98.31063054362798,73.81516587677727,74.73695963626376,PM,,,,,False,85.02914607483828
4,Seonghyeon Kim,42464094,6900,51.71,51.49325,56.5,70.5,91.0,4.61,Leverage Pivot,38.769200000000005,100.0,CORE LOCK,0.612308,0.006,39.29,7.494202898550724,84.1618497109827,100.0,78.55450236966828,71.18097974823135,AM,,,,,False,84.66903979090651
5,Rickie Fowler,42464045,8800,64.58,54.40725,68.5,82.5,106.5,21.61,Stable Core,24.615399999999998,100.0,CORE LOCK,0.753846,0.027999999999999997,41.92,7.338636363636363,98.49710982658964,98.16778319008877,35.9004739336493,97.56386392248987,AM,,,,,False,83.9061097436502
6,Mac Meissner,42464073,7300,53.81,53.3845,59.0,72.5,95.0,6.64,Leverage Pivot,36.4154,100.0,CORE LOCK,0.635846,0.006999999999999999,41.19,7.371232876712329,87.86127167630062,98.6038216132828,66.70616113744079,75.568496370578,AM,,,,,False,83.760896448755
7,Denny McCarthy,42464051,8200,61.14,53.583,65.5,78.0,104.0,14.52,Stable Core,27.0,100.0,CORE LOCK,0.73,0.021,42.86,7.456097560975611,96.18497109826593,99.73904313298283,35.9004739336493,93.11893566280435,PM,,,,,False,82.70284799143181
8,Alex Smalley,42464063,7600,55.43,51.38225,60.5,74.0,96.0,6.89,Leverage Pivot,34.092299999999994,100.0,CORE LOCK,0.659077,0.008,40.57,7.2934210526315795,88.78612716763008,97.56294509379283,57.22748815165879,79.89878775700566,PM,,,,,False,82.30318601433132
9,J.J. Spaun,42464047,8600,61.49,53.935500000000005,66.0,79.0,102.5,11.94,Ceiling Assassin,27.0154,100.0,CORE LOCK,0.729846,0.018000000000000002,41.01,7.15,94.79768786127171,95.64442425395457,38.2701421800948,93.09022984413491,PM,,,,,False,81.76066481876346
10,Will Zalatoris,42464061,7600,54.73,53.88725,60.0,72.5,95.0,5.93,Punt/Fragile Value,34.9231,100.0,CORE LOCK,0.650769,0.01,40.27,7.201315789473684,87.86127167630062,96.33086749022696,57.22748815165879,78.35016476021512,AM,,,,,False,81.44236864560567
11,Stephan Jaeger,42464068,7400,56.64,52.375499999999995,62.0,75.0,98.5,9.3,Value Stabilizer,33.2923,100.0,CORE LOCK,0.667077,0.012,41.86,7.654054054054054,91.09826589595379,100.0,45.37914691943129,81.38999911645732,PM,,,,,False,81.27917535290923
12,Billy Horschel,42464101,6800,51.67,48.86775,56.5,71.0,92.5,5.07,Leverage Pivot,39.46150000000001,100.0,CORE LOCK,0.605385,0.006,40.83,7.598529411764706,85.54913294797691,100.0,61.96682464454979,69.89052271804587,PM,,,,,False,81.26877345974272
13,Max McGreevy,42464070,7400,52.18,51.98725,57.0,71.0,92.0,4.75,Punt/Fragile Value,38.6154,100.0,CORE LOCK,0.613846,0.008,39.82,7.051351351351351,85.08670520231217,94.32481681291532,66.70616113744079,71.46766513208594,AM,,,,,False,81.12108941259504
14,Maverick McNealy,42464043,9000,64.88,55.131,69.0,82.0,107.0,20.44,Stable Core,24.323099999999997,100.0,CORE LOCK,0.756769,0.028999999999999998,42.120000000000005,7.208888888888889,98.95953757225438,96.43217164874238,24.052132701421808,98.10871527294951,AM,,,,,False,81.06420704988061
15,Ryo Hisatsune,42464050,8300,59.71,55.9395,64.5,77.5,101.5,11.52,Ceiling Assassin,29.738500000000002,100.0,CORE LOCK,0.702615,0.02,41.79,7.193975903614457,93.87283236994224,96.2326829927311,38.2701421800948,88.01433277798141,AM,,,,,False,80.84177581633597
16,Mackenzie Hughes,42464084,7100,51.46,48.287,56.5,70.5,90.5,4.16,Leverage Pivot,39.4923,100.0,CORE LOCK,0.605077,0.005,39.04,7.2478873239436625,83.69942196531795,96.95384757428351,64.33649289099529,69.833111080707,PM,,,,,False,80.35930149719674
17,Andrew Novak,42464075,7300,54.51,53.711999999999996,60.0,72.62,94.5,5.34,Value Stabilizer,35.2615,100.0,CORE LOCK,0.647385,0.009000000000000001,39.99,7.467123287671233,87.39884393063588,99.88653254302258,50.11848341232229,77.71938235516707,AM,,,,,False,80.31332250133788
18,Jordan L. Smith,42464059,7700,55.85,51.739999999999995,61.0,74.5,96.5,6.74,Punt/Fragile Value,34.538500000000006,100.0,CORE LOCK,0.654615,0.012,40.65,7.253246753246753,89.24855491329483,97.02553981624489,47.7488151658768,79.06706462127148,PM,,,,,False,80.09095771207464
19,Keith Mitchell,42464048,8500,61.89,53.763,66.5,79.5,104.0,15.15,Stable Core,27.3385,100.0,CORE LOCK,0.726615,0.023,42.11,7.281176470588235,96.18497109826593,97.39915124767171,26.421800947867307,92.48796685633637,PM,,,,,False,79.92595104509267
20,Sepp Straka,42464041,9200,64.77,56.309,68.5,81.5,108.0,14.95,Stable Core,24.2154,100.0,CORE LOCK,0.757846,0.033,43.230000000000004,7.040217391304348,99.88439306358386,94.17587958237516,19.31279620853081,98.3094696022157,PM,,,,,False,79.89231277107788
21,Lee Hodges,42464093,6900,51.19,48.1905,56.0,70.0,90.5,3.96,Leverage Pivot,39.553799999999995,100.0,CORE LOCK,0.604462,0.006,39.31,7.418840579710144,83.69942196531795,99.24066236059458,59.59715639810429,69.71847420744916,PM,,,,,False,79.75745056329671
22,Hideki Matsuyama,42464040,9300,67.22,55.538999999999994,70.5,85.0,111.0,25.36,Stable Core,25.582773722627735,100.0,CORE LOCK,0.778,0.038,43.78,7.2279569892473114,100.0,96.68724262502182,14.573459715639817,100.0,AM,-0.08,0.79,-0.08,0.42,True,79.62308911210197
23,Michael Thorbjornsen,42464044,8900,62.92,58.601499999999994,67.5,80.5,106.5,12.65,Stable Core,26.338499999999996,100.0,CORE LOCK,0.736615,0.027999999999999997,43.58,7.069662921348314,98.49710982658964,94.56976780166293,21.682464454976312,94.35198105565094,AM,,,,,False,79.42685940541266
24,Patrick Rodgers,42464066,7500,53.36,52.53574999999999,58.5,72.0,92.0,4.61,Punt/Fragile Value,36.3077,100.0,CORE LOCK,0.636923,0.005,38.64,7.1146666666666665,85.08670520231217,95.17177581708188,54.85781990521329,75.76925069984416,AM,,,,,False,79.14150803390793
25,Nick Taylor,42464054,8000,57.98,53.2985,63.0,76.0,99.0,7.94,Punt/Fragile Value,31.200000000000006,100.0,CORE LOCK,0.688,0.013999999999999999,41.02,7.2475,91.56069364161853,96.94866640287213,35.9004739336493,85.29007602568316,PM,,,,,False,79.1290168261898
26,Marco Penge,42464058,7800,56.31,55.266999999999996,61.5,74.5,98.5,8.98,Punt/Fragile Value,33.446200000000005,100.0,CORE LOCK,0.665538,0.013999999999999999,42.19,7.219230769230769,91.09826589595379,96.5705133537777,35.9004739336493,81.10312733118279,AM,,,,,False,78.3073001719248
27,Max Homa,42464086,7000,52.65,52.6475,57.5,71.5,93.5,4.76,Punt/Fragile Value,38.0,100.0,CORE LOCK,0.62,0.01,40.85,7.521428571428571,86.4739884393064,100.0,45.37914691943129,72.61477947034413,AM,,,,,False,78.19620026712263
28,Jordan Spieth,42464038,9500,68.82,52.8465,71.5,86.0,113.0,28.06,Stable Core,20.399999999999995,100.0,CORE LOCK,0.796,0.042,44.18000000000001,7.244210526315789,100.0,96.9046636313162,7.46445497630332,100.0,PM,,,,,False,78.03585064343933
29,Sudarshan Yellamaraju,42464052,8100,58.14,56.2155,63.0,76.0,99.0,9.18,Punt/Fragile Value,31.015400000000003,100.0,CORE LOCK,0.689846,0.013999999999999999,40.86,7.177777777777778,91.56069364161853,96.01600321376014,31.161137440758303,85.63417304687664,AM,,,,,False,77.87851614397538
30,Joel Dahmen,42474773,6600,47.69,48.49175,51.5,67.0,86.0,2.15,Punt/Fragile Value,44.7846,100.0,CORE LOCK,0.552154,0.004,38.31,7.225757575757576,79.53757225433529,96.65782141706067,66.70616113744079,59.96818873367453,AM,,,,,False,77.80878265556323
31,Kristoffer Reitan,42464081,7100,49.19,46.80050000000001,54.0,68.0,88.5,3.08,Punt/Fragile Value,42.969199999999994,100.0,CORE LOCK,0.570308,0.006,39.31,6.928169014084507,81.84971098265899,92.67702608198613,64.33649289099529,63.352120111110196,PM,,,,,False,77.79899333012696
32,Steven Fisk,42464106,6700,49.48,46.845749999999995,54.0,68.5,88.02,2.61,Leverage Pivot,41.6462,100.0,CORE LOCK,0.583538,0.004,38.54,7.385074626865671,81.40578034682083,98.78898052574202,57.22748815165879,65.81821089680336,PM,,,,,False,77.64269315279395
33,Eric Cole,42464091,6900,50.42,48.115249999999996,55.0,69.5,91.5,4.19,Punt/Fragile Value,41.6615,100.0,CORE LOCK,0.583385,0.006999999999999999,41.08,7.3072463768115945,84.62427745664743,97.74788427859308,50.11848341232229,65.78969147955385,PM,,,,,False,77.12664215025853
34,John Parry,42464079,7200,49.55,46.98625,54.0,68.5,88.5,2.89,Punt/Fragile Value,41.923100000000005,100.0,CORE LOCK,0.580769,0.006,38.95,6.881944444444444,81.84971098265899,92.05868729183078,59.59715639810429,65.30206536501315,PM,,,,,False,76.82640428593523
35,Si Woo Kim,42464037,9600,67.09,60.013000000000005,70.5,84.0,110.5,19.31,Stable Core,22.199999999999996,100.0,CORE LOCK,0.778,0.036000000000000004,43.41,6.988541666666667,100.0,93.4846215500847,5.094786729857821,100.0,AM,,,,,False,76.73841768888593
36,Michael Kim,42464092,6900,50.51,50.437,56.0,69.5,88.5,2.74,Punt/Fragile Value,40.4923,100.0,CORE LOCK,0.595077,0.004,37.99,7.320289855072463,81.84971098265899,97.92236483363222,50.11848341232229,67.96909688139243,AM,,,,,False,76.283032655531
37,John Keefer,42464053,8000,58.11,54.01825,63.0,76.0,101.0,7.45,Punt/Fragile Value,31.338500000000003,100.0,CORE LOCK,0.686615,0.016,42.89,7.26375,93.4104046242775,97.1660400943584,19.31279620853081,85.0319100590781,PM,,,,,False,76.10499019859763
38,Taylor Moore,42474776,6900,50.49,50.5315,55.5,69.0,89.02,3.16,Punt/Fragile Value,40.5077,100.0,CORE LOCK,0.594923,0.004,38.529999999999994,7.317391304347826,82.33063583815031,97.88359137695684,47.7488151658768,67.940391062723,AM,,,,,False,75.92773548125928
39,Russell Henley,42464036,9800,69.15,55.155,72.0,86.5,113.0,22.3,Stable Core,27.477911067961166,100.0,CORE LOCK,0.794462,0.044000000000000004,43.849999999999994,7.0561224489795915,100.0,94.38863903469328,0.0,100.0,PM,0.31,0.66,0.31,0.78,True,75.76550058763252
40,Alex Noren,42464046,8700,60.61,57.164500000000004,65.5,79.0,103.5,10.64,Stable Core,28.953799999999998,100.0,CORE LOCK,0.710462,0.02,42.89,6.966666666666667,95.72254335260119,93.19200311923778,14.573459715639817,89.47702472018356,AM,,,,,False,75.68961784254584
41,Ludvig Aberg,42464034,10100,70.41,55.530750000000005,73.5,87.5,114.0,23.61,Stable Core,19.5692,100.0,CORE LOCK,0.804308,0.046,43.59,6.971287128712871,100.0,93.25381031255198,0.0,100.0,PM,,,,,False,75.51583826876143
42,Robert MacIntyre,42464035,9900,68.51,57.813,72.0,86.0,111.52,19.89,Stable Core,21.507699999999996,100.0,CORE LOCK,0.784923,0.042,43.00999999999999,6.92020202020202,100.0,92.57045285919936,0.35545023696682354,100.0,PM,,,,,False,75.44725318352623
43,Bronson Burgoon,42464115,6600,48.06,48.94200000000001,52.0,67.0,87.0,2.28,Punt/Fragile Value,44.553799999999995,100.0,CORE LOCK,0.554462,0.003,38.94,7.281818181818182,80.46242774566477,97.4077353177592,52.48815165876779,60.398403210876324,AM,,,,,False,75.14798872201675
44,Tommy Fleetwood,42464033,10500,71.18,59.5995,74.0,88.5,114.52,22.1,Stable Core,13.578857477554507,100.0,CORE LOCK,0.816154,0.049,43.33999999999999,6.77904761904762,100.0,90.68225265929387,0.0,100.0,AM,0.596,0.599,0.995,-0.149,True,74.95009558504465
45,Emiliano Grillo,42464108,6700,47.52,48.45775,51.0,67.0,86.0,1.81,Punt/Fragile Value,44.8308,100.0,CORE LOCK,0.551692,0.004,38.48,7.092537313432836,79.53757225433529,94.8757549430732,52.48815165876779,59.882071277666185,AM,,,,,False,74.13539058191012
46,Thorbjorn Olesen,42464057,7800,56.75,55.806250000000006,61.5,75.5,99.5,8.65,Punt/Fragile Value,33.707699999999996,100.0,CORE LOCK,0.662923,0.017,42.75,7.2756410256410255,92.02312138728327,97.32510447215209,14.573459715639817,80.61568761806205,AM,,,,,False,73.89316909147766
47,William Mouw,42464087,7000,50.16,50.632000000000005,55.0,69.0,90.0,3.52,Punt/Fragile Value,40.98460000000001,100.0,CORE LOCK,0.590154,0.005,39.84,7.1657142857142855,83.23699421965321,95.85463177978744,38.2701421800948,67.05144269106987,AM,,,,,False,73.56637681506847
48,Kevin Roy,42464096,6900,47.32,45.2265,51.5,66.5,85.5,1.74,Punt/Fragile Value,45.4,100.0,CORE LOCK,0.546,0.004,38.18,6.857971014492754,79.07514450867055,91.73799849391163,52.48815165876779,58.82107439541635,PM,,,,,False,73.11293491522291
49,Brian Harman,42464056,7900,55.91,52.172,60.5,74.12,97.5,5.9,Punt/Fragile Value,33.5692,100.0,CORE LOCK,0.664308,0.012,41.59,7.077215189873417,90.1734104046243,94.67079330864124,16.943127962085313,80.87385358466712,PM,,,,,False,73.11092729512963
50,Austin Eckroat,42464097,6800,48.31,48.95575,52.5,67.12,86.5,1.87,Punt/Fragile Value,43.9538,100.0,CORE LOCK,0.560462,0.003,38.19,7.104411764705883,80.00000000000003,95.03459760815602,45.37914691943129,61.51681173046507,AM,,,,,False,72.94200079022399
51,Jhonattan Vegas,42464113,6600,49.05,46.574999999999996,54.0,68.0,87.5,1.98,Punt/Fragile Value,42.815400000000004,100.0,CORE LOCK,0.571846,0.005,38.45,7.431818181818182,80.92485549132952,99.41426170070929,38.2701421800948,63.63880549496477,PM,,,,,False,72.93475429628167
52,Matthew McCarty,42464071,7400,52.24,48.82800000000001,57.5,71.0,91.0,3.84,Punt/Fragile Value,38.4,100.0,CORE LOCK,0.616,0.008,38.76,7.059459459459459,84.1618497109827,94.43327769848018,28.791469194312807,71.8691737906183,PM,,,,,False,72.08832847975069
53,Doug Ghim,42464088,7000,49.01,49.807,53.5,68.0,88.5,2.38,Punt/Fragile Value,42.969199999999994,100.0,CORE LOCK,0.570308,0.005,39.49,7.001428571428571,81.84971098265899,93.65700764608019,35.9004739336493,63.352120111110196,AM,,,,,False,71.47430491403809
54,Rico Hoey,42464065,7500,52.7,52.868750000000006,57.5,72.0,94.0,4.37,Punt/Fragile Value,38.5846,100.0,CORE LOCK,0.614154,0.009000000000000001,41.3,7.026666666666667,86.93641618497114,93.99461367241784,14.573459715639817,71.52507676942483,AM,,,,,False,69.8422655202422
55,Chad Ramey,42464089,7000,50.73,47.83075,56.0,69.5,89.52,2.83,Punt/Fragile Value,39.9846,100.0,CORE LOCK,0.600154,0.005,38.79,7.247142857142856,82.79306358381507,96.94388895910319,19.31279620853081,68.91545689038443,PM,,,,,False,69.50169479991709
56,Kevin Yu,42464104,6700,48.61,46.1095,53.0,68.0,86.5,1.72,Punt/Fragile Value,43.1231,100.0,CORE LOCK,0.568769,0.004,37.89,7.255223880597015,80.00000000000003,97.05198753751658,26.421800947867307,63.065248325835675,PM,,,,,False,69.22693375862177
57,Davis Thompson,42464064,7500,54.68,54.02949999999999,60.0,73.0,95.02,4.66,Punt/Fragile Value,35.0769,100.0,CORE LOCK,0.649231,0.009000000000000001,40.339999999999996,7.290666666666667,87.8797687861272,97.52610010641,0.35545023696682354,78.06347937636053,AM,,,,,False,68.59525078701286
58,Tom Kim,42464078,7200,53.63,50.604749999999996,59.0,72.0,95.0,4.23,Punt/Fragile Value,37.0923,100.0,CORE LOCK,0.629077,0.006999999999999999,41.37,7.448611111111111,87.86127167630062,99.63889807186449,0.0,74.30674515906196,PM,,,,,False,68.48216855053451
59,Matt Kuchar,42464099,6800,50.38,50.5835,55.5,69.5,89.0,2.3,Punt/Fragile Value,40.6154,100.0,CORE LOCK,0.593846,0.005,38.62,7.408823529411765,82.31213872832373,99.10666585590768,12.203791469194316,67.7396367334568,AM,,,,,False,67.98758956745974
60,Seamus Power,42464095,6900,49.2,50.161249999999995,53.5,68.5,89.5,2.63,Punt/Fragile Value,43.184599999999996,100.0,CORE LOCK,0.568154,0.004,40.3,7.130434782608695,82.77456647398847,95.38270342139586,14.573459715639817,62.950611452577846,AM,,,,,False,67.28498789521453
61,Hao-Tong Li,42464080,7100,51.44,49.084250000000004,56.0,70.5,93.0,3.71,Punt/Fragile Value,40.0462,100.0,CORE LOCK,0.599538,0.006,41.56,7.245070422535211,86.01156069364166,96.91616632765533,0.0,68.80063361570666,PM,,,,,False,66.39049445345553
62,Bud Cauley,42464077,7200,51.13,51.63075,56.0,70.0,92.02,3.87,Punt/Fragile Value,40.338499999999996,100.0,CORE LOCK,0.596615,0.006,40.88999999999999,7.101388888888889,85.10520231213876,94.99416107429481,0.35545023696682354,68.25578226524702,AM,,,,,False,65.59790565642761
