rank,player_name,DFS ID,dk_salary,proj_points,p50,p75,p95,own_proj,DFS_SCORE,archetype,FRAGILITY,exposure,make_cut_prob,win_pct,ceiling_delta,value_pts_per_1k,CEIL,VAL,LEV,SAFE,tee_hour,wave
1,Sepp Straka,42464041,9200,64.77,68.5,81.5,108.0,14.95,97.87743249636614,Stable Core,1.6905303977843147,IN,75.8,3.3,39.5,7.040217391304348,99.88439306358386,94.17587958237516,98.32646656569027,98.30946960221569,13.3,PM
2,Michael Thorbjornsen,42464044,8900,62.92,67.5,80.5,106.5,12.65,96.84574394818931,Stable Core,5.648018944349062,IN,73.7,2.8,39.0,7.069662921348314,98.49710982658964,94.56976780166293,99.4353179561137,94.35198105565094,8.5,AM
3,Si Woo Kim,42464037,9600,67.09,70.5,84.0,110.5,19.31,96.38392807042291,Stable Core,0.0,IN,77.8,3.6,40.0,6.988541666666667,100.0,93.48462155008468,88.31042754648087,100.0,8.5,AM
4,Denny McCarthy,42464051,8200,61.14,65.5,78.0,104.0,14.52,96.1490977189834,Stable Core,6.881064337195653,IN,73.0,2.1,38.5,7.456097560975611,96.18497109826593,99.73904313298283,94.35447521079853,93.11893566280435,13.9,PM
5,Robert MacIntyre,42464035,9900,68.51,72.0,86.0,111.52,19.89,96.03559764407547,Elite Stud,0.0,IN,78.5,4.2,39.519999999999996,6.92020202020202,100.0,92.57045285919938,87.60579076044483,100.0,13.1,PM
6,Maverick McNealy,42464043,9000,64.88,69.0,82.0,107.0,20.44,95.89891412751189,Stable Core,1.8912847270504756,IN,75.7,2.9,38.0,7.208888888888889,98.95953757225438,96.4321716487424,85.67355225458667,98.10871527294952,8.3,AM
7,Rickie Fowler,42464045,8800,64.58,68.5,82.5,106.5,21.61,95.71097649453498,Stable Core,2.4361360775101417,IN,75.4,2.8,38.0,7.338636363636363,98.49710982658964,98.16778319008877,83.69033046123971,97.56386392248986,8.1,AM
8,Russell Henley,42464036,9800,69.15,72.0,86.5,113.0,22.3,95.16627745390849,Elite Stud,0.0,IN,79.4,4.4,41.0,7.0561224489795915,100.0,94.38863903469328,79.81833938373632,100.0,13.5,PM
9,Hideki Matsuyama,42464040,9300,67.22,70.5,85.0,111.0,25.36,95.10894204787694,Stable Core,0.0,IN,77.8,3.8,40.5,7.2279569892473114,100.0,96.68724262502182,76.10077289189107,100.0,8.1,AM
10,J.J. Spaun,42464047,8600,61.49,66.0,79.0,102.5,11.94,94.83886775390198,Stable Core,6.90977015586509,IN,73.0,1.8,36.5,7.15,94.79768786127171,95.64442425395457,95.80349608413592,93.09022984413491,13.5,PM
11,Ludvig Aberg,42464034,10100,70.41,73.5,87.5,114.0,23.61,94.61201404535555,Elite Stud,0.0,IN,80.4,4.6,40.5,6.971287128712871,100.0,93.25381031255198,78.22683216010321,100.0,13.1,PM
12,Jordan Spieth,42464038,9500,68.82,71.5,86.0,113.0,28.06,94.60566232567375,Stable Core,0.0,IN,79.6,4.2,41.5,7.244210526315789,100.0,96.9046636313162,72.8205671637923,100.0,13.1,PM
13,Keith Mitchell,42464048,8500,61.89,66.5,79.5,104.0,15.15,94.4816902720707,Stable Core,7.512033143663629,IN,72.7,2.3,37.5,7.281176470588235,96.18497109826593,97.39915124767171,88.72952983261435,92.48796685633637,13.9,PM
14,Alex Noren,42464046,8700,60.61,65.5,79.0,103.5,10.64,94.31406921123573,Stable Core,10.52297527981645,IN,71.0,2.0,38.0,6.966666666666667,95.72254335260119,93.19200311923778,98.50645302000662,89.47702472018355,8.5,AM
15,Tommy Fleetwood,42464033,10500,71.18,74.0,88.5,114.52,22.1,94.28098715441247,Elite Stud,0.0,IN,81.6,4.9,40.519999999999996,6.77904761904762,100.0,90.68225265929387,80.06131758581772,100.0,8.1,AM
16,John Keefer,42464053,8000,58.11,63.0,76.0,101.0,7.45,93.79384579263066,Stable Core,14.9680899409219,IN,68.7,1.6,38.0,7.26375,93.41040462427749,97.1660400943584,100.0,85.0319100590781,13.9,PM
17,Ryo Hisatsune,42464050,8300,59.71,64.5,77.5,101.5,11.52,93.51503939100517,Stable Core,11.985667222018591,IN,70.3,2.0,37.0,7.193975903614457,93.87283236994223,96.2326829927311,95.19015168616515,88.01433277798141,8.7,AM
18,Nick Taylor,42464054,8000,57.98,63.0,76.0,99.0,7.94,93.08824538966971,Stable Core,14.709923974316837,IN,68.8,1.4,36.0,7.2475,91.56069364161853,96.94866640287213,100.0,85.29007602568316,13.3,PM
19,Sudarshan Yellamaraju,42464052,8100,58.14,63.0,76.0,99.0,9.18,92.11197901272314,Stable Core,14.365826953123374,IN,69.0,1.4,36.0,7.177777777777778,91.56069364161853,96.01600321376016,95.2240000946632,85.63417304687663,8.7,AM
20,Stephan Jaeger,42464068,7400,56.64,62.0,75.0,98.5,9.3,91.96313122033531,Stable Core,18.610000883542682,IN,66.7,1.2,36.5,7.654054054054054,91.09826589595379,100.0,94.51641386224351,81.38999911645732,13.5,PM
21,Thorbjorn Olesen,42464057,7800,56.75,61.5,75.5,99.5,8.65,91.81624734784752,Stable Core,19.384312381937946,IN,66.3,1.7,38.0,7.2756410256410255,92.02312138728327,97.32510447215209,96.42969164134969,80.61568761806205,8.9,AM
22,Tony Finau,42464069,7400,56.92,62.0,75.0,97.5,10.71,91.4850443412987,Stable Core,16.832104140236467,IN,67.7,1.4,35.5,7.691891891891892,90.1734104046243,100.0,91.67981891522803,83.16789585976353,8.3,AM
23,Marco Penge,42464058,7800,56.31,61.5,74.5,98.5,8.98,91.11447527269095,Stable Core,18.89687266881721,IN,66.6,1.4,37.0,7.219230769230769,91.09826589595379,96.57051335377768,94.90517898557371,81.10312733118279,8.5,AM
24,Brian Harman,42464056,7900,55.91,60.5,74.12,97.5,5.9,91.10836499785097,Stable Core,19.126146415332897,IN,66.4,1.2,37.0,7.077215189873417,90.1734104046243,94.67079330864122,100.0,80.8738535846671,13.3,PM
25,Alex Smalley,42464063,7600,55.43,60.5,74.0,96.0,6.89,91.0233498246754,Stable Core,20.10121224299435,IN,65.9,0.8,35.5,7.2934210526315795,88.7861271676301,97.56294509379282,99.49486868309783,79.89878775700565,12.5,PM
26,Jordan L. Smith,42464059,7700,55.85,61.0,74.5,96.5,6.74,90.98424874536755,Stable Core,20.932935378728516,IN,65.5,1.2,35.5,7.253246753246753,89.24855491329484,97.02553981624489,100.0,79.06706462127148,13.9,PM
27,Andrew Novak,42464075,7300,54.51,60.0,72.62,94.5,5.34,90.67480410910242,Stable Core,22.280617644832944,IN,64.7,0.9,34.5,7.467123287671233,87.39884393063588,99.88653254302258,99.69255181571606,77.71938235516706,8.7,AM
28,Davis Thompson,42464064,7500,54.68,60.0,73.0,95.02,4.66,90.38853304060295,Stable Core,21.936520623639467,IN,64.9,0.9,35.019999999999996,7.290666666666667,87.8797687861272,97.52610010640998,100.0,78.06347937636053,8.7,AM
29,Tom Kim,42464078,7200,53.63,59.0,72.0,95.0,4.23,90.15835678677276,Stable Core,25.69325484093804,IN,62.9,0.7,36.0,7.448611111111111,87.86127167630062,99.63889807186449,100.0,74.30674515906196,12.5,PM
30,Will Zalatoris,42464061,7600,54.73,60.0,72.5,95.0,5.93,90.06141918482096,Stable Core,21.649835239784878,IN,65.1,1.0,35.0,7.201315789473684,87.86127167630062,96.33086749022698,99.5375654307468,78.35016476021512,7.9,AM
